model,variable,month,box_mean,korea_land_mean,difference_land_minus_box,unit,south_korea_land_grid_cells,reliability
MPI-ESM1-2-LR,tas,1,2.496,-0.1296,-2.6255,degC,3,very_limited
MPI-ESM1-2-LR,tas,2,3.6117,1.5704,-2.0414,degC,3,very_limited
MPI-ESM1-2-LR,tas,3,7.3183,6.1251,-1.1932,degC,3,very_limited
MPI-ESM1-2-LR,tas,4,12.0242,11.6,-0.4242,degC,3,very_limited
MPI-ESM1-2-LR,tas,5,16.0744,15.9875,-0.0868,degC,3,very_limited
MPI-ESM1-2-LR,tas,6,19.946,19.9371,-0.0089,degC,3,very_limited
MPI-ESM1-2-LR,tas,7,23.5051,23.3574,-0.1477,degC,3,very_limited
MPI-ESM1-2-LR,tas,8,25.0993,24.4937,-0.6056,degC,3,very_limited
MPI-ESM1-2-LR,tas,9,22.5081,21.3719,-1.1362,degC,3,very_limited
MPI-ESM1-2-LR,tas,10,16.7747,15.235,-1.5396,degC,3,very_limited
MPI-ESM1-2-LR,tas,11,11.5453,9.5783,-1.9669,degC,3,very_limited
MPI-ESM1-2-LR,tas,12,6.0714,3.5911,-2.4803,degC,3,very_limited
MPI-ESM1-2-LR,pr,1,1.7509,1.3313,-0.4196,mm/day,3,very_limited
MPI-ESM1-2-LR,pr,2,2.5819,2.3381,-0.2437,mm/day,3,very_limited
MPI-ESM1-2-LR,pr,3,3.1066,2.8296,-0.277,mm/day,3,very_limited
MPI-ESM1-2-LR,pr,4,4.4341,4.3168,-0.1173,mm/day,3,very_limited
MPI-ESM1-2-LR,pr,5,4.383,4.0331,-0.3499,mm/day,3,very_limited
MPI-ESM1-2-LR,pr,6,4.7652,4.772,0.0068,mm/day,3,very_limited
MPI-ESM1-2-LR,pr,7,4.6392,5.3236,0.6844,mm/day,3,very_limited
MPI-ESM1-2-LR,pr,8,4.1002,4.6954,0.5951,mm/day,3,very_limited
MPI-ESM1-2-LR,pr,9,3.6171,3.7053,0.0882,mm/day,3,very_limited
