dataset,variable,month,box_mean,korea_land_mean,difference_land_minus_box,unit
ERA5,tas,1,2.8338,-1.4813,-4.3151,degC
ERA5,tas,2,4.144,1.0713,-3.0727,degC
ERA5,tas,3,7.2706,5.7874,-1.4832,degC
ERA5,tas,4,11.6737,11.8409,0.1672,degC
ERA5,tas,5,16.0872,17.1409,1.0537,degC
ERA5,tas,6,20.3605,21.2918,0.9312,degC
ERA5,tas,7,23.9331,24.3311,0.3981,degC
ERA5,tas,8,25.4303,24.909,-0.5213,degC
ERA5,tas,9,22.0854,20.4195,-1.666,degC
ERA5,tas,10,17.1422,14.3377,-2.8045,degC
ERA5,tas,11,11.0804,7.3013,-3.7791,degC
ERA5,tas,12,5.2415,0.6534,-4.5882,degC
ERA5,pr,1,1.7396,1.0086,-0.731,mm/day
ERA5,pr,2,1.781,1.26,-0.521,mm/day
ERA5,pr,3,2.3134,1.9823,-0.3311,mm/day
ERA5,pr,4,2.9456,2.921,-0.0246,mm/day
ERA5,pr,5,3.3618,3.2966,-0.0652,mm/day
ERA5,pr,6,5.3413,5.1746,-0.1667,mm/day
ERA5,pr,7,7.2853,8.6169,1.3316,mm/day
ERA5,pr,8,6.3281,7.7018,1.3737,mm/day
ERA5,pr,9,4.5957,4.9719,0.3763,mm/day
ERA5,pr,10,2.1357,1.7493,-0.3864,mm/day
ERA5,pr,11,2.152,1.5257,-0.6264,mm/day
ERA5,pr,12,1.7994,0.8857,-0.9136,mm/day
