station_id,station_name,variable,unit,time_size,time_first,time_last,missing_count,min,mean,max
105,강릉,tas,degC,240,1995-01-01,2014-12-01,0,-2.8,13.3383,28.5
105,강릉,pr,mm/day,240,1995-01-01,2014-12-01,0,0.0,3.9878,36.6774
105,강릉,pr_monthly_mm,mm/month,240,1995-01-01,2014-12-01,0,0.0,121.6717,1137.0
108,서울,tas,degC,240,1995-01-01,2014-12-01,0,-7.2,12.7533,27.7
108,서울,pr,mm/day,240,1995-01-01,2014-12-01,0,0.0276,4.1758,39.929
108,서울,pr_monthly_mm,mm/month,240,1995-01-01,2014-12-01,0,0.8,128.0592,1237.8
133,대전,tas,degC,240,1995-01-01,2014-12-01,0,-5.7,12.9292,27.8
133,대전,pr,mm/day,240,1995-01-01,2014-12-01,0,0.0581,3.8968,25.2161
133,대전,pr_monthly_mm,mm/month,240,1995-01-01,2014-12-01,0,1.8,119.1979,781.7
143,대구,tas,degC,240,1995-01-01,2014-12-01,0,-2.5,14.4521,29.0
143,대구,pr,mm/day,240,1995-01-01,2014-12-01,0,0.0,3.0189,21.9452
143,대구,pr_monthly_mm,mm/month,240,1995-01-01,2014-12-01,0,0.0,92.3117,680.3
156,광주,tas,degC,240,1995-01-01,2014-12-01,0,-3.4,14.0354,28.4
156,광주,pr,mm/day,240,1995-01-01,2014-12-01,0,0.0742,3.9082,19.5935
156,광주,pr_monthly_mm,mm/month,240,1995-01-01,2014-12-01,0,2.3,119.5117,607.4
159,부산,tas,degC,240,1995-01-01,2014-12-01,0,-0.7,14.8733,28.0
159,부산,pr,mm/day,240,1995-01-01,2014-12-01,0,0.0,4.2795,28.5839
159,부산,pr_monthly_mm,mm/month,240,1995-01-01,2014-12-01,0,0.0,130.815,886.1
184,제주,tas,degC,240,1995-01-01,2014-12-01,0,2.3,16.0454,29.1
184,제주,pr,mm/day,240,1995-01-01,2014-12-01,0,0.06,4.0947,29.3333
184,제주,pr_monthly_mm,mm/month,240,1995-01-01,2014-12-01,0,1.8,124.8471,880.0
