comparison_type,model,variable,unit,time_size,lat_size,lon_size,total_grid_cells,land_grid_cells,reliability,mean_bias,rmse,correlation,asos_mean,model_mean
CMIP6_box_minus_ASOS_7stations,MPI-ESM1-2-LR,tas,degC,240,3,4,12,3,box_main_comparison,-0.1465,2.2037,0.971,14.061,13.9145
CMIP6_land_mask_minus_ASOS_7stations_supplementary,MPI-ESM1-2-LR,tas,degC,240,3,4,12,3,very_limited,-1.3345,2.2695,0.9773,14.061,12.7265
CMIP6_box_minus_ASOS_7stations,MPI-ESM1-2-LR,pr,mm/day,240,3,4,12,3,box_main_comparison,-0.7345,3.6641,0.3728,3.9088,3.1743
CMIP6_land_mask_minus_ASOS_7stations_supplementary,MPI-ESM1-2-LR,pr,mm/day,240,3,4,12,3,very_limited,-0.7861,3.5258,0.4583,3.9088,3.1227
CMIP6_box_minus_ASOS_7stations,MPI-ESM1-2-HR,tas,degC,240,7,8,56,12,box_main_comparison,-0.3983,2.5605,0.9626,14.061,13.6627
CMIP6_land_mask_minus_ASOS_7stations_supplementary,MPI-ESM1-2-HR,tas,degC,240,7,8,56,12,supplementary_usable,-2.5298,3.0468,0.9817,14.061,11.5312
CMIP6_box_minus_ASOS_7stations,MPI-ESM1-2-HR,pr,mm/day,240,7,8,56,12,box_main_comparison,-0.6913,3.5774,0.4091,3.9088,3.2175
CMIP6_land_mask_minus_ASOS_7stations_supplementary,MPI-ESM1-2-HR,pr,mm/day,240,7,8,56,12,supplementary_usable,-0.6131,3.4325,0.4943,3.9088,3.2957
CMIP6_box_minus_ASOS_7stations,ACCESS-CM2,tas,degC,240,5,4,20,6,box_main_comparison,-1.7681,4.3827,0.9304,14.061,12.2929
CMIP6_land_mask_minus_ASOS_7stations_supplementary,ACCESS-CM2,tas,degC,240,5,4,20,6,limited_supplementary,-2.689,4.2132,0.9543,14.061,11.372
CMIP6_box_minus_ASOS_7stations,ACCESS-CM2,pr,mm/day,240,5,4,20,6,box_main_comparison,-0.7879,3.6501,0.3902,3.9088,3.121
CMIP6_land_mask_minus_ASOS_7stations_supplementary,ACCESS-CM2,pr,mm/day,240,5,4,20,6,limited_supplementary,-0.9989,3.7651,0.3747,3.9088,2.9099
CMIP6_box_minus_ASOS_7stations,CanESM5,tas,degC,240,2,2,4,1,box_main_comparison,0.7057,2.7349,0.9547,14.061,14.7668
CMIP6_land_mask_minus_ASOS_7stations_supplementary,CanESM5,tas,degC,240,2,2,4,1,reference_only_not_recommended,0.5066,2.9779,0.9408,14.061,14.5676
CMIP6_box_minus_ASOS_7stations,CanESM5,pr,mm/day,240,2,2,4,1,box_main_comparison,-1.0388,3.749,0.3773,3.9088,2.87
CMIP6_land_mask_minus_ASOS_7stations_supplementary,CanESM5,pr,mm/day,240,2,2,4,1,reference_only_not_recommended,-1.1075,4.0931,0.2499,3.9088,2.8014
