comparison_type,model,variable,month,ASOS_7stations_mean,CMIP6_value,difference_CMIP6_minus_ASOS,unit,land_grid_cells,reliability
CMIP6_box_minus_ASOS_7stations,MPI-ESM1-2-LR,tas,1,1.1307,2.496,1.3653,degC,3,box_main_comparison
CMIP6_box_minus_ASOS_7stations,MPI-ESM1-2-LR,tas,2,3.3236,3.6117,0.2882,degC,3,box_main_comparison
CMIP6_box_minus_ASOS_7stations,MPI-ESM1-2-LR,tas,3,7.6664,7.3183,-0.3481,degC,3,box_main_comparison
CMIP6_box_minus_ASOS_7stations,MPI-ESM1-2-LR,tas,4,13.3529,12.0242,-1.3287,degC,3,box_main_comparison
CMIP6_box_minus_ASOS_7stations,MPI-ESM1-2-LR,tas,5,18.3307,16.0744,-2.2564,degC,3,box_main_comparison
CMIP6_box_minus_ASOS_7stations,MPI-ESM1-2-LR,tas,6,22.1693,19.946,-2.2232,degC,3,box_main_comparison
CMIP6_box_minus_ASOS_7stations,MPI-ESM1-2-LR,tas,7,25.3207,23.5051,-1.8156,degC,3,box_main_comparison
CMIP6_box_minus_ASOS_7stations,MPI-ESM1-2-LR,tas,8,26.1193,25.0993,-1.02,degC,3,box_main_comparison
CMIP6_box_minus_ASOS_7stations,MPI-ESM1-2-LR,tas,9,21.9364,22.5081,0.5717,degC,3,box_main_comparison
CMIP6_box_minus_ASOS_7stations,MPI-ESM1-2-LR,tas,10,16.3993,16.7747,0.3754,degC,3,box_main_comparison
CMIP6_box_minus_ASOS_7stations,MPI-ESM1-2-LR,tas,11,9.7186,11.5453,1.8267,degC,3,box_main_comparison
CMIP6_box_minus_ASOS_7stations,MPI-ESM1-2-LR,tas,12,3.2643,6.0714,2.8071,degC,3,box_main_comparison
CMIP6_land_mask_minus_ASOS_7stations_supplementary,MPI-ESM1-2-LR,tas,1,1.1307,-0.1296,-1.2603,degC,3,very_limited
CMIP6_land_mask_minus_ASOS_7stations_supplementary,MPI-ESM1-2-LR,tas,2,3.3236,1.5704,-1.7532,degC,3,very_limited
CMIP6_land_mask_minus_ASOS_7stations_supplementary,MPI-ESM1-2-LR,tas,3,7.6664,6.1251,-1.5413,degC,3,very_limited
CMIP6_land_mask_minus_ASOS_7stations_supplementary,MPI-ESM1-2-LR,tas,4,13.3529,11.6,-1.7529,degC,3,very_limited
CMIP6_land_mask_minus_ASOS_7stations_supplementary,MPI-ESM1-2-LR,tas,5,18.3307,15.9875,-2.3432,degC,3,very_limited
CMIP6_land_mask_minus_ASOS_7stations_supplementary,MPI-ESM1-2-LR,tas,6,22.1693,19.9371,-2.2322,degC,3,very_limited
CMIP6_land_mask_minus_ASOS_7stations_supplementary,MPI-ESM1-2-LR,tas,7,25.3207,23.3574,-1.9633,degC,3,very_limited
CMIP6_land_mask_minus_ASOS_7stations_supplementary,MPI-ESM1-2-LR,tas,8,26.1193,24.4937,-1.6256,degC,3,very_limited
