variable,month,ASOS_Seoul_108,ERA5_Korea_land,difference_ERA5_land_minus_ASOS,unit
tas,1,-2.21,-1.4813,0.7287,degC
tas,2,0.775,1.0713,0.2963,degC
tas,3,5.905,5.7874,-0.1176,degC
tas,4,12.445,11.8409,-0.6041,degC
tas,5,18.195,17.1409,-1.0541,degC
tas,6,22.7,21.2918,-1.4082,degC
tas,7,25.085,24.3311,-0.7539,degC
tas,8,25.94,24.909,-1.031,degC
tas,9,21.61,20.4195,-1.1905,degC
tas,10,15.16,14.3377,-0.8223,degC
tas,11,7.45,7.3013,-0.1487,degC
tas,12,-0.015,0.6534,0.6684,degC
pr,1,0.5997,1.0086,0.4089,mm/day
pr,2,0.8853,1.26,0.3747,mm/day
pr,3,1.319,1.9823,0.6633,mm/day
pr,4,2.5282,2.921,0.3928,mm/day
pr,5,3.2315,3.2966,0.0651,mm/day
pr,6,4.6937,5.1746,0.4809,mm/day
pr,7,14.9287,8.6169,-6.3118,mm/day
pr,8,12.9411,7.7018,-5.2393,mm/day
pr,9,5.503,4.9719,-0.5311,mm/day
pr,10,1.479,1.7493,0.2702,mm/day
pr,11,1.4195,1.5257,0.1062,mm/day
pr,12,0.5805,0.8857,0.3052,mm/day
