variable,month,unit,CMIP6_MPI_ESM1_2_LR,ERA5,CMIP6_minus_ERA5
pr,1,mm/day,1.7509,1.7396,0.011299999999999866
pr,2,mm/day,2.5819,1.781,0.8009000000000002
pr,3,mm/day,3.1066,2.3134,0.7931999999999997
pr,4,mm/day,4.4341,2.9456,1.4884999999999997
pr,5,mm/day,4.383,3.3618,1.0211999999999999
pr,6,mm/day,4.7652,5.3413,-0.5761000000000003
pr,7,mm/day,4.6392,7.2853,-2.6461000000000006
pr,8,mm/day,4.1002,6.3281,-2.2279
pr,9,mm/day,3.6171,4.5957,-0.9785999999999997
pr,10,mm/day,0.8473,2.1357,-1.2883999999999998
pr,11,mm/day,1.5873,2.152,-0.5647000000000002
pr,12,mm/day,2.2793,1.7994,0.4799
tas,1,degC,2.496,2.8338,-0.3378000000000001
tas,2,degC,3.6117,4.144,-0.5323000000000002
tas,3,degC,7.3183,7.2706,0.047699999999999854
tas,4,degC,12.0242,11.6737,0.35050000000000026
tas,5,degC,16.0744,16.0872,-0.01279999999999859
tas,6,degC,19.946,20.3605,-0.41449999999999676
tas,7,degC,23.5051,23.9331,-0.4280000000000008
tas,8,degC,25.0993,25.4303,-0.3309999999999995
tas,9,degC,22.5081,22.0854,0.42269999999999897
tas,10,degC,16.7747,17.1422,-0.3674999999999997
tas,11,degC,11.5453,11.0804,0.4649000000000001
tas,12,degC,6.0714,5.2415,0.8298999999999994
