dataset,variable,month,value,unit
ERA5,tas,1,2.8338,degC
ERA5,tas,2,4.144,degC
ERA5,tas,3,7.2706,degC
ERA5,tas,4,11.6737,degC
ERA5,tas,5,16.0872,degC
ERA5,tas,6,20.3605,degC
ERA5,tas,7,23.9331,degC
ERA5,tas,8,25.4303,degC
ERA5,tas,9,22.0854,degC
ERA5,tas,10,17.1422,degC
ERA5,tas,11,11.0804,degC
ERA5,tas,12,5.2415,degC
ERA5,pr,1,1.7396,mm/day
ERA5,pr,2,1.781,mm/day
ERA5,pr,3,2.3134,mm/day
ERA5,pr,4,2.9456,mm/day
ERA5,pr,5,3.3618,mm/day
ERA5,pr,6,5.3413,mm/day
ERA5,pr,7,7.2853,mm/day
ERA5,pr,8,6.3281,mm/day
ERA5,pr,9,4.5957,mm/day
ERA5,pr,10,2.1357,mm/day
ERA5,pr,11,2.152,mm/day
ERA5,pr,12,1.7994,mm/day
CMIP6_MPI_ESM1_2_LR,tas,1,2.496,degC
CMIP6_MPI_ESM1_2_LR,tas,2,3.6117,degC
CMIP6_MPI_ESM1_2_LR,tas,3,7.3183,degC
CMIP6_MPI_ESM1_2_LR,tas,4,12.0242,degC
CMIP6_MPI_ESM1_2_LR,tas,5,16.0744,degC
CMIP6_MPI_ESM1_2_LR,tas,6,19.946,degC
CMIP6_MPI_ESM1_2_LR,tas,7,23.5051,degC
CMIP6_MPI_ESM1_2_LR,tas,8,25.0993,degC
CMIP6_MPI_ESM1_2_LR,tas,9,22.5081,degC
CMIP6_MPI_ESM1_2_LR,tas,10,16.7747,degC
CMIP6_MPI_ESM1_2_LR,tas,11,11.5453,degC
CMIP6_MPI_ESM1_2_LR,tas,12,6.0714,degC
CMIP6_MPI_ESM1_2_LR,pr,1,1.7509,mm/day
CMIP6_MPI_ESM1_2_LR,pr,2,2.5819,mm/day
CMIP6_MPI_ESM1_2_LR,pr,3,3.1066,mm/day
CMIP6_MPI_ESM1_2_LR,pr,4,4.4341,mm/day
CMIP6_MPI_ESM1_2_LR,pr,5,4.383,mm/day
CMIP6_MPI_ESM1_2_LR,pr,6,4.7652,mm/day
CMIP6_MPI_ESM1_2_LR,pr,7,4.6392,mm/day
CMIP6_MPI_ESM1_2_LR,pr,8,4.1002,mm/day
CMIP6_MPI_ESM1_2_LR,pr,9,3.6171,mm/day
CMIP6_MPI_ESM1_2_LR,pr,10,0.8473,mm/day
CMIP6_MPI_ESM1_2_LR,pr,11,1.5873,mm/day
CMIP6_MPI_ESM1_2_LR,pr,12,2.2793,mm/day
