dataset,year,month,pr
ERA5,1995,7,7.302695165354766
ERA5,1996,6,9.002664046708546
ERA5,1997,7,7.628708404657829
ERA5,1998,6,8.771236823975553
ERA5,1999,9,8.908539698007925
ERA5,2000,8,7.878543866567122
ERA5,2001,7,6.694343890125757
ERA5,2002,8,11.008703100667182
ERA5,2003,7,11.31380041313155
ERA5,2004,8,7.936330413464915
ERA5,2005,7,6.8190863767054255
ERA5,2006,7,11.602284345133251
ERA5,2007,9,8.573987512475655
ERA5,2008,6,5.253721719229107
ERA5,2009,7,10.89740546619452
ERA5,2010,9,6.383899174807933
ERA5,2011,7,8.550922178856625
ERA5,2012,8,8.868144385181877
ERA5,2013,7,6.84768523359627
ERA5,2014,8,9.131727314700258
CMIP6_MPI_ESM1_2_LR,1995,6,7.791346073150635
CMIP6_MPI_ESM1_2_LR,1996,7,6.4280877113342285
CMIP6_MPI_ESM1_2_LR,1997,7,7.736501693725586
CMIP6_MPI_ESM1_2_LR,1998,7,4.437321186065674
CMIP6_MPI_ESM1_2_LR,1999,8,8.693633079528809
CMIP6_MPI_ESM1_2_LR,2000,6,5.9724345207214355
CMIP6_MPI_ESM1_2_LR,2001,5,4.240258693695068
CMIP6_MPI_ESM1_2_LR,2002,6,6.046894550323486
CMIP6_MPI_ESM1_2_LR,2003,7,10.197660446166992
CMIP6_MPI_ESM1_2_LR,2004,6,7.685217380523682
CMIP6_MPI_ESM1_2_LR,2005,6,8.632335662841797
CMIP6_MPI_ESM1_2_LR,2006,5,6.313056945800781
CMIP6_MPI_ESM1_2_LR,2007,4,6.3306121826171875
CMIP6_MPI_ESM1_2_LR,2008,7,8.88424015045166
CMIP6_MPI_ESM1_2_LR,2009,5,5.825588226318359
CMIP6_MPI_ESM1_2_LR,2010,5,6.259847640991211
CMIP6_MPI_ESM1_2_LR,2011,5,5.639246463775635
CMIP6_MPI_ESM1_2_LR,2012,7,7.418514251708984
CMIP6_MPI_ESM1_2_LR,2013,4,7.1030755043029785
CMIP6_MPI_ESM1_2_LR,2014,6,6.23037576675415
