model,variable,month,monthly_bias_CMIP6_minus_ERA5,unit
MPI-ESM1-2-LR,tas,1,0.3252,degC
MPI-ESM1-2-LR,tas,2,-0.032,degC
MPI-ESM1-2-LR,tas,3,0.3291,degC
MPI-ESM1-2-LR,tas,4,0.3836,degC
MPI-ESM1-2-LR,tas,5,-0.0617,degC
MPI-ESM1-2-LR,tas,6,-0.4267,degC
MPI-ESM1-2-LR,tas,7,-0.2863,degC
MPI-ESM1-2-LR,tas,8,-0.1724,degC
MPI-ESM1-2-LR,tas,9,0.7469,degC
MPI-ESM1-2-LR,tas,10,0.0548,degC
MPI-ESM1-2-LR,tas,11,1.0357,degC
MPI-ESM1-2-LR,tas,12,1.5037,degC
MPI-ESM1-2-LR,pr,1,0.0825,mm/day
MPI-ESM1-2-LR,pr,2,0.9236,mm/day
MPI-ESM1-2-LR,pr,3,0.8779,mm/day
MPI-ESM1-2-LR,pr,4,1.6146,mm/day
MPI-ESM1-2-LR,pr,5,1.1654,mm/day
MPI-ESM1-2-LR,pr,6,-0.1391,mm/day
MPI-ESM1-2-LR,pr,7,-2.719,mm/day
MPI-ESM1-2-LR,pr,8,-2.2818,mm/day
MPI-ESM1-2-LR,pr,9,-0.966,mm/day
MPI-ESM1-2-LR,pr,10,-1.1636,mm/day
MPI-ESM1-2-LR,pr,11,-0.4486,mm/day
MPI-ESM1-2-LR,pr,12,0.579,mm/day
MPI-ESM1-2-HR,tas,1,0.3559,degC
MPI-ESM1-2-HR,tas,2,-0.3716,degC
MPI-ESM1-2-HR,tas,3,-0.124,degC
MPI-ESM1-2-HR,tas,4,-0.5116,degC
MPI-ESM1-2-HR,tas,5,-1.0019,degC
MPI-ESM1-2-HR,tas,6,-1.6683,degC
MPI-ESM1-2-HR,tas,7,-1.4873,degC
MPI-ESM1-2-HR,tas,8,-0.816,degC
MPI-ESM1-2-HR,tas,9,0.4823,degC
MPI-ESM1-2-HR,tas,10,0.5388,degC
MPI-ESM1-2-HR,tas,11,0.9142,degC
MPI-ESM1-2-HR,tas,12,1.1784,degC
MPI-ESM1-2-HR,pr,1,0.4749,mm/day
MPI-ESM1-2-HR,pr,2,0.4291,mm/day
MPI-ESM1-2-HR,pr,3,1.2699,mm/day
MPI-ESM1-2-HR,pr,4,1.7787,mm/day
MPI-ESM1-2-HR,pr,5,1.2237,mm/day
MPI-ESM1-2-HR,pr,6,-1.0831,mm/day
MPI-ESM1-2-HR,pr,7,-2.0987,mm/day
MPI-ESM1-2-HR,pr,8,-2.6913,mm/day
MPI-ESM1-2-HR,pr,9,-2.1414,mm/day
MPI-ESM1-2-HR,pr,10,-0.9313,mm/day
MPI-ESM1-2-HR,pr,11,-0.0786,mm/day
MPI-ESM1-2-HR,pr,12,0.4021,mm/day
ACCESS-CM2,tas,1,1.5902,degC
ACCESS-CM2,tas,2,-0.1245,degC
ACCESS-CM2,tas,3,-1.0491,degC
ACCESS-CM2,tas,4,-2.2441,degC
ACCESS-CM2,tas,5,-3.5137,degC
ACCESS-CM2,tas,6,-4.6063,degC
ACCESS-CM2,tas,7,-5.4944,degC
ACCESS-CM2,tas,8,-5.2403,degC
ACCESS-CM2,tas,9,-3.1003,degC
ACCESS-CM2,tas,10,-1.3462,degC
ACCESS-CM2,tas,11,0.4549,degC
ACCESS-CM2,tas,12,2.1078,degC
ACCESS-CM2,pr,1,0.1756,mm/day
ACCESS-CM2,pr,2,0.3632,mm/day
ACCESS-CM2,pr,3,0.348,mm/day
ACCESS-CM2,pr,4,0.2038,mm/day
ACCESS-CM2,pr,5,-0.0697,mm/day
ACCESS-CM2,pr,6,-3.0543,mm/day
ACCESS-CM2,pr,7,-0.6351,mm/day
ACCESS-CM2,pr,8,-1.7388,mm/day
ACCESS-CM2,pr,9,-2.2649,mm/day
ACCESS-CM2,pr,10,0.1181,mm/day
ACCESS-CM2,pr,11,0.4526,mm/day
ACCESS-CM2,pr,12,1.2061,mm/day
CanESM5,tas,1,2.8275,degC
CanESM5,tas,2,0.8785,degC
CanESM5,tas,3,-0.1707,degC
CanESM5,tas,4,-1.309,degC
CanESM5,tas,5,-0.8349,degC
CanESM5,tas,6,0.2985,degC
CanESM5,tas,7,0.5592,degC
CanESM5,tas,8,1.0649,degC
CanESM5,tas,9,1.6303,degC
CanESM5,tas,10,1.144,degC
CanESM5,tas,11,1.8001,degC
CanESM5,tas,12,3.0258,degC
CanESM5,pr,1,0.4917,mm/day
CanESM5,pr,2,0.6521,mm/day
CanESM5,pr,3,1.5228,mm/day
CanESM5,pr,4,0.865,mm/day
CanESM5,pr,5,0.3258,mm/day
CanESM5,pr,6,-1.4102,mm/day
CanESM5,pr,7,-2.036,mm/day
CanESM5,pr,8,-2.763,mm/day
CanESM5,pr,9,-2.7075,mm/day
CanESM5,pr,10,-0.8957,mm/day
CanESM5,pr,11,0.1695,mm/day
CanESM5,pr,12,0.1144,mm/day
