variable,month,ASOS_7stations_mean,ERA5_Korea_land,difference_ERA5_land_minus_ASOS,unit
tas,1,1.1307,-1.4813,-2.612,degC
tas,2,3.3236,1.0713,-2.2522,degC
tas,3,7.6664,5.7874,-1.879,degC
tas,4,13.3529,11.8409,-1.512,degC
tas,5,18.3307,17.1409,-1.1898,degC
tas,6,22.1693,21.2918,-0.8775,degC
tas,7,25.3207,24.3311,-0.9896,degC
tas,8,26.1193,24.909,-1.2102,degC
tas,9,21.9364,20.4195,-1.517,degC
tas,10,16.3993,14.3377,-2.0616,degC
tas,11,9.7186,7.3013,-2.4173,degC
tas,12,3.2643,0.6534,-2.6109,degC
pr,1,1.0756,1.0086,-0.0671,mm/day
pr,2,1.4706,1.26,-0.2105,mm/day
pr,3,2.0562,1.9823,-0.0738,mm/day
pr,4,2.9501,2.921,-0.0292,mm/day
pr,5,3.3678,3.2966,-0.0712,mm/day
pr,6,5.348,5.1746,-0.1735,mm/day
pr,7,9.9329,8.6169,-1.3159,mm/day
pr,8,10.0291,7.7018,-2.3273,mm/day
pr,9,5.9104,4.9719,-0.9385,mm/day
pr,10,1.9729,1.7493,-0.2236,mm/day
pr,11,1.7945,1.5257,-0.2688,mm/day
pr,12,0.9977,0.8857,-0.112,mm/day
